Date,Interviewers Name,SURVEY NO.,Name,Age,Mobile/phone number,Village,District,Percentage of revenue you reinvest into the business,Profit amount (monthly) (INR),Percentage of income you save,Do you have an Aadhar Card?,Do you have a PAN Card?,Do you have a Ration Card,Do you have a Bank Account,Monthly Income (INR),Total Assets (INR),Total Loans (INR),Total Savings (INR)
2022-01-01,Interviewer A,1,Person 1,41,+91 3279765263,Village B,District C,69.77485791095344,9783,38.18165397780848,Yes,No,No,Yes,40107,894925,273468,382528
2022-01-02,Interviewer B,2,Person 2,58,+91 4308001457,Village C,District B,56.623582851316215,2907,73.84333650158305,No,Yes,Yes,Yes,37558,966364,16609,298011
2022-01-03,Interviewer B,3,Person 3,26,+91 0120117564,Village B,District B,29.330466387223165,3724,38.95326303825322,Yes,No,No,Yes,49573,157420,168876,97009
2022-01-04,Interviewer A,4,Person 4,59,+91 6293401504,Village B,District A,47.49899619629231,9745,68.04932226618133,No,Yes,Yes,Yes,44352,629169,138044,105190
2022-01-05,Interviewer C,5,Person 5,35,+91 9516232852,Village A,District A,59.05159508242247,2207,70.79068365312904,No,No,Yes,Yes,33165,803023,321601,318081
2022-01-06,Interviewer B,6,Person 6,18,+91 1356572132,Village B,District C,46.6022485467897,9250,85.88258205404897,No,No,Yes,Yes,6627,779140,307892,227477
2022-01-07,Interviewer A,7,Person 7,28,+91 9239126181,Village B,District B,65.97602170278812,5862,24.101052816412604,No,Yes,Yes,No,10398,265248,39742,313556
2022-01-08,Interviewer C,8,Person 8,25,+91 6684177461,Village B,District B,59.97848317342991,5481,20.406767369130606,No,Yes,Yes,No,30126,473016,388713,349162
2022-01-09,Interviewer A,9,Person 9,27,+91 7758835473,Village C,District B,46.21994909760095,6531,74.28574393949091,Yes,Yes,No,No,40263,155784,44526,299956
2022-01-10,Interviewer B,10,Person 10,23,+91 3194606951,Village B,District C,56.862916395232354,5407,17.310700980847415,Yes,No,Yes,No,13965,215000,205523,246866
2022-01-11,Interviewer C,11,Person 11,41,+91 6659560578,Village A,District C,96.24467367278525,4218,30.087859506717585,Yes,No,No,No,17655,648044,133712,269173
2022-01-12,Interviewer C,12,Person 12,57,+91 9043907814,Village A,District C,29.849348235715347,2976,3.4783286086005227,Yes,No,Yes,Yes,17775,934265,368942,338865
2022-01-13,Interviewer B,13,Person 13,31,+91 3374412556,Village C,District C,53.938115797851395,8343,62.957454630216525,No,Yes,Yes,No,32119,883306,463656,450486
2022-01-14,Interviewer B,14,Person 14,40,+91 4125578403,Village B,District A,83.61417835943168,1803,24.578901888345406,Yes,No,No,No,7960,185497,445473,168230
2022-01-15,Interviewer B,15,Person 15,52,+91 9286039548,Village A,District C,56.580150053368094,3923,93.16942086515758,No,Yes,Yes,No,41455,181430,13805,218660
2022-01-16,Interviewer A,16,Person 16,23,+91 7485215677,Village A,District A,63.88220557840203,9069,93.1138700010989,Yes,No,Yes,Yes,8984,448921,376105,323452
2022-01-17,Interviewer A,17,Person 17,27,+91 4384286793,Village A,District C,77.84335255193986,2353,9.116944989307552,No,No,Yes,Yes,40080,921354,197538,283677
2022-01-18,Interviewer C,18,Person 18,35,+91 1026527806,Village B,District C,19.061132432529103,2651,39.423278583336916,No,Yes,Yes,Yes,43848,488895,12539,161645
2022-01-19,Interviewer C,19,Person 19,29,+91 0958020895,Village C,District C,24.917889512038204,5760,94.14768469857665,No,Yes,Yes,No,10654,711468,173359,288669
2022-01-20,Interviewer C,20,Person 20,57,+91 7039528896,Village C,District B,98.79158460349358,2344,60.810348282669345,No,No,No,Yes,45351,146848,469564,430159
2022-01-21,Interviewer A,21,Person 21,38,+91 5575555348,Village C,District C,29.116705488429474,8062,30.409603876954485,No,No,Yes,Yes,9095,363955,160423,367641
2022-01-22,Interviewer A,22,Person 22,25,+91 4476600244,Village C,District B,12.391422456981772,2042,24.044235796355164,Yes,Yes,Yes,Yes,28372,212680,27066,188471
2022-01-23,Interviewer C,23,Person 23,56,+91 4853204273,Village C,District B,74.3233425290997,2213,52.09373876858838,No,Yes,Yes,No,41844,952083,363659,32046
2022-01-24,Interviewer C,24,Person 24,56,+91 7601625102,Village C,District B,19.476439194453434,7982,57.18820333094469,Yes,Yes,Yes,Yes,25136,386659,156526,265330
2022-01-25,Interviewer B,25,Person 25,54,+91 0891336087,Village B,District B,68.60318766305396,7249,2.4650115992416177,No,Yes,No,Yes,35961,796396,427551,488773
2022-01-26,Interviewer A,26,Person 26,24,+91 2574812268,Village B,District C,42.392188965422875,1616,37.816547631767385,Yes,No,Yes,No,32015,140863,22404,381401
2022-01-27,Interviewer A,27,Person 27,53,+91 9625688684,Village C,District B,74.88986124326134,2578,53.84504125634179,Yes,No,Yes,Yes,23152,234184,271740,382296
2022-01-28,Interviewer B,28,Person 28,21,+91 6045010060,Village A,District B,4.377757687123507,4877,59.48929324903172,No,Yes,Yes,Yes,39525,553978,205487,182059
2022-01-29,Interviewer A,29,Person 29,27,+91 6253527701,Village B,District C,77.94805584700633,2014,99.95265372648649,No,No,No,No,38451,444875,466144,220521
2022-01-30,Interviewer A,30,Person 30,59,+91 3909673113,Village A,District C,37.23239788872147,2531,64.25366521597992,No,Yes,Yes,No,19480,222812,390142,82107
2022-01-31,Interviewer A,31,Person 31,51,+91 7665576448,Village A,District B,86.27919778341506,2045,72.69885589260363,No,No,No,No,36220,428900,58913,69492
2022-02-01,Interviewer A,32,Person 32,36,+91 0516578456,Village A,District C,78.89937380566158,6528,10.358519331058137,Yes,No,No,No,7973,139856,238446,161136
2022-02-02,Interviewer B,33,Person 33,18,+91 7108431715,Village A,District A,27.54883334852918,2124,26.149725401523703,No,No,No,No,17414,883361,339160,478237
2022-02-03,Interviewer B,34,Person 34,57,+91 6154004990,Village B,District A,58.11229031646714,9283,71.52816116447424,No,No,No,No,9797,470337,26641,392165
2022-02-04,Interviewer A,35,Person 35,26,+91 9295828103,Village C,District C,38.62029242293309,9857,19.46256919620789,Yes,Yes,No,Yes,28145,125694,70236,190194
2022-02-05,Interviewer C,36,Person 36,25,+91 2990456456,Village C,District B,79.52205310485452,9487,95.21358470803654,Yes,No,Yes,No,32887,473247,271326,63847
2022-02-06,Interviewer B,37,Person 37,34,+91 3378145687,Village C,District A,43.11863096528404,5137,42.0537560459855,Yes,Yes,No,Yes,29351,122382,280585,478059
2022-02-07,Interviewer A,38,Person 38,41,+91 6284020929,Village B,District B,45.81952171339161,3578,28.03008020247173,Yes,Yes,No,No,7467,946331,429406,19096
2022-02-08,Interviewer B,39,Person 39,39,+91 2083440306,Village A,District A,88.19408594714491,4185,97.66406806498573,Yes,No,Yes,Yes,8642,642460,256356,317631
2022-02-09,Interviewer B,40,Person 40,58,+91 0935927598,Village C,District A,43.13778044989308,2058,70.08019997638914,No,Yes,Yes,No,44679,932859,141928,376664
