Date,Interviewers Name,SURVEY NO.,Name,Age,Mobile/phone number,Village,District,Percentage of revenue you reinvest into the business,Profit amount (monthly) (INR),Percentage of income you save,Do you have an Aadhar Card?,Do you have a PAN Card?,Do you have a Ration Card,Do you have a Bank Account,Monthly Income (INR),Total Assets (INR),Total Loans (INR),Total Savings (INR)
2023-01-01,Interviewer A,1,Person 1,55,+91 8279369360,Village A,District B,91.87515918449265,5511,7.830254393367375,Yes,No,Yes,Yes,23854,373857,277888,5998
2023-01-02,Interviewer A,2,Person 2,51,+91 5560048250,Village A,District B,21.70482446884504,6927,7.612045690262281,Yes,Yes,No,No,42342,525727,384286,215057
2023-01-03,Interviewer B,3,Person 3,34,+91 4679109456,Village A,District C,66.857848827844,9246,20.347979435668616,No,Yes,No,No,12250,677662,289013,368327
2023-01-04,Interviewer C,4,Person 4,36,+91 3361231621,Village A,District C,75.3874106473766,3370,24.008818078928606,Yes,Yes,Yes,Yes,28866,377711,370124,399110
2023-01-05,Interviewer A,5,Person 5,50,+91 9657722713,Village B,District B,49.49595047247537,3236,30.13586367925255,Yes,Yes,No,Yes,18956,571512,314998,353857
2023-01-06,Interviewer C,6,Person 6,48,+91 5234105615,Village C,District A,35.05867856592225,2289,93.60250839121491,Yes,No,Yes,Yes,41132,563824,452010,111314
2023-01-07,Interviewer B,7,Person 7,32,+91 7834005704,Village C,District B,37.72671793423965,8966,85.4325286232034,No,No,Yes,No,41638,264569,251738,83084
2023-01-08,Interviewer C,8,Person 8,33,+91 5875860932,Village A,District A,67.92374300715633,9771,76.21796556030439,Yes,Yes,Yes,No,49551,170225,27111,96971
2023-01-09,Interviewer A,9,Person 9,49,+91 7336094741,Village A,District B,83.29530850783591,4653,18.475121817922812,No,Yes,No,No,49421,196787,205751,64602
2023-01-10,Interviewer A,10,Person 10,51,+91 4372560282,Village B,District A,67.09294774811792,6159,95.03122770087933,No,No,No,No,25612,514349,464403,358071
2023-01-11,Interviewer B,11,Person 11,25,+91 3560162196,Village B,District B,78.67757668556744,8219,4.6593086755667095,Yes,No,No,No,22958,400863,192785,165827
2023-01-12,Interviewer B,12,Person 12,46,+91 8694776239,Village A,District B,47.7151249984398,6356,58.846936277752924,No,Yes,Yes,Yes,30888,390666,428369,230492
2023-01-13,Interviewer A,13,Person 13,26,+91 4914355671,Village A,District C,94.13849379391249,6086,89.29194824930975,No,Yes,No,Yes,37269,664148,480508,245803
2023-01-14,Interviewer B,14,Person 14,56,+91 0975095625,Village C,District B,66.52577577571552,4104,22.993360518948734,No,Yes,Yes,Yes,26606,102065,176957,272925
2023-01-15,Interviewer C,15,Person 15,37,+91 9739575870,Village B,District B,41.11458112461857,5529,15.080308106397588,Yes,Yes,No,Yes,6792,507190,489556,377136
2023-01-16,Interviewer A,16,Person 16,58,+91 3306663404,Village C,District C,39.164835639311136,3601,93.03485846413301,Yes,Yes,No,No,43406,780054,199758,463919
2023-01-17,Interviewer C,17,Person 17,21,+91 4091602546,Village C,District B,97.83199978562787,1667,90.96675528584456,Yes,No,Yes,No,40990,706505,37090,227191
2023-01-18,Interviewer B,18,Person 18,30,+91 2252551428,Village B,District A,88.1463807816495,4950,91.774958412943,No,No,No,No,9510,116307,295221,426457
2023-01-19,Interviewer A,19,Person 19,20,+91 1553733743,Village A,District C,89.42129986779473,7799,86.34573392115563,Yes,No,Yes,No,21017,505141,376040,134593
2023-01-20,Interviewer C,20,Person 20,49,+91 8856743458,Village A,District A,12.368498738472855,4456,76.43191114088893,Yes,No,Yes,Yes,48560,630307,27572,439931
2023-01-21,Interviewer A,21,Person 21,26,+91 8547100259,Village B,District C,90.80259911836525,5851,50.80319111855177,Yes,Yes,Yes,No,31139,995444,254536,108479
2023-01-22,Interviewer A,22,Person 22,20,+91 9538124087,Village A,District B,66.1726509679131,7550,69.82549755408135,No,No,Yes,Yes,38907,149440,173679,164723
2023-01-23,Interviewer C,23,Person 23,44,+91 3967773493,Village C,District B,59.99520842237759,6389,27.687039530649592,Yes,No,Yes,No,17704,492787,85149,172095
2023-01-24,Interviewer A,24,Person 24,55,+91 9855624002,Village B,District B,21.72430219318935,6733,46.9089606315955,No,No,No,Yes,15925,180831,206053,405359
2023-01-25,Interviewer A,25,Person 25,37,+91 8994323412,Village B,District B,73.88456935416937,1521,18.695555227063608,No,Yes,Yes,Yes,48773,954733,303783,286838
2023-01-26,Interviewer C,26,Person 26,29,+91 4691034289,Village B,District B,61.14051396833349,4679,88.05552305769487,Yes,No,Yes,No,46698,289298,272128,84746
2023-01-27,Interviewer A,27,Person 27,20,+91 2471281357,Village B,District B,4.344839534523515,8383,45.821150135187494,Yes,No,Yes,Yes,47337,895315,219415,357494
2023-01-28,Interviewer B,28,Person 28,53,+91 5035405288,Village B,District B,57.13536035012458,8840,43.77438546573955,No,No,No,No,6759,864437,491604,122678
2023-01-29,Interviewer A,29,Person 29,38,+91 4763751558,Village B,District B,9.599477871399852,4819,75.9946330419049,Yes,No,Yes,No,45499,952653,35106,93802
2023-01-30,Interviewer B,30,Person 30,27,+91 2630947207,Village B,District B,7.881915747845603,5545,34.719227142334894,Yes,Yes,No,No,10946,997977,274130,80633
2023-01-31,Interviewer B,31,Person 31,41,+91 6775901760,Village B,District A,96.22682638092307,8491,6.52843511107295,No,Yes,Yes,Yes,23951,300031,450379,111183
2023-02-01,Interviewer B,32,Person 32,58,+91 5771901763,Village B,District B,87.4547423073364,7116,93.29671306039982,No,Yes,No,No,29526,666186,24871,344730
2023-02-02,Interviewer C,33,Person 33,55,+91 4663141789,Village A,District C,5.799773187777301,8082,70.1980176303448,Yes,Yes,No,Yes,33403,778035,295253,378148
2023-02-03,Interviewer A,34,Person 34,29,+91 8109737060,Village C,District C,93.2459619581623,3904,0.01130540553202497,Yes,Yes,No,No,9156,779596,467108,405430
2023-02-04,Interviewer A,35,Person 35,59,+91 5140496365,Village A,District C,64.27560318296231,7667,16.79616523667118,Yes,No,Yes,No,23370,217799,470180,109169
2023-02-05,Interviewer B,36,Person 36,44,+91 8877289472,Village A,District A,72.32776748069479,3408,49.47205375923773,Yes,Yes,Yes,Yes,27884,950054,319734,242504
2023-02-06,Interviewer C,37,Person 37,36,+91 0494968280,Village A,District C,16.111698568113997,8968,85.1844042796506,No,Yes,Yes,No,45782,894924,190574,454201
2023-02-07,Interviewer A,38,Person 38,52,+91 6450875010,Village A,District C,55.78122658332481,3955,72.33901360498375,No,No,No,Yes,8381,337831,256390,279862
2023-02-08,Interviewer B,39,Person 39,50,+91 8420425527,Village A,District C,58.35213236489907,7012,64.82804662457787,No,Yes,Yes,Yes,43844,780382,247126,227102
2023-02-09,Interviewer C,40,Person 40,33,+91 2045895390,Village B,District C,54.29839301802595,9479,93.91252815008853,Yes,No,No,No,32764,542260,273564,205107
2023-02-10,Interviewer B,41,Person 41,34,+91 0162360686,Village A,District B,15.132249991797032,4247,60.215265048147124,No,Yes,No,No,10018,249805,53876,16391
2023-02-11,Interviewer C,42,Person 42,57,+91 3917398343,Village A,District B,54.42134513261432,6013,74.42106388186883,Yes,No,No,Yes,10832,867861,126032,233755
2023-02-12,Interviewer A,43,Person 43,48,+91 4635376410,Village C,District B,17.00422631550681,8392,66.79997095542886,Yes,Yes,Yes,No,36928,740557,308634,399605
2023-02-13,Interviewer A,44,Person 44,54,+91 4679046074,Village B,District B,96.51867949325501,9407,5.97866381026294,No,No,Yes,Yes,47147,833492,88471,272730
2023-02-14,Interviewer C,45,Person 45,27,+91 2409097864,Village A,District A,20.30584232843794,2402,43.64945932726078,No,No,No,No,27087,851641,394755,130151
2023-02-15,Interviewer A,46,Person 46,55,+91 0594388770,Village A,District A,14.246234753168252,4334,88.52891528782146,Yes,Yes,No,Yes,27510,749233,127275,426935
2023-02-16,Interviewer B,47,Person 47,47,+91 7864718874,Village A,District C,56.952061743548775,3914,89.65544864313692,No,Yes,No,Yes,24969,765099,259782,408705
2023-02-17,Interviewer A,48,Person 48,55,+91 9660008040,Village C,District A,15.31296204106628,8203,30.594602066928033,No,No,No,Yes,14980,235094,332842,207281
2023-02-18,Interviewer B,49,Person 49,28,+91 7409771660,Village A,District C,92.53813738478657,3914,94.61923838195726,No,No,No,No,17525,979987,22776,193557
2023-02-19,Interviewer A,50,Person 50,21,+91 1489806153,Village A,District B,45.75939438638794,2903,4.372859705456122,Yes,Yes,Yes,Yes,28420,716163,64081,124957
